"","categories","Year","count"
"164","Organizations",1993,5
"165","Organizations",1994,15
"166","Organizations",1995,12
"167","Organizations",1996,11
"168","Religious Institutions",1972,1
"169","Religious Institutions",1973,2
"170","Religious Institutions",1974,2
"171","Religious Institutions",1975,2
"172","Religious Institutions",1976,2
"173","Religious Institutions",1977,1
"174","Religious Institutions",1978,1
"175","Religious Institutions",1979,2
"176","Religious Institutions",1980,3
"177","Religious Institutions",1981,3
"178","Religious Institutions",1982,3
"179","Religious Institutions",1983,7
"180","Religious Institutions",1984,6
"181","Religious Institutions",1985,8
"182","Religious Institutions",1986,4
"183","Religious Institutions",1987,8
"184","Religious Institutions",1988,10
"185","Religious Institutions",1989,10
"186","Religious Institutions",1990,11
"187","Religious Institutions",1991,10
"188","Religious Institutions",1992,11
"189","Religious Institutions",1993,6
"190","Restaurants",1965,6
"191","Restaurants",1966,6
"192","Restaurants",1968,9
"193","Restaurants",1969,18
"194","Restaurants",1970,24
"195","Restaurants",1971,25
"196","Restaurants",1972,27
"197","Restaurants",1973,40
"198","Restaurants",1974,60
"199","Restaurants",1975,57
"200","Restaurants",1976,44
"201","Restaurants",1977,58
"202","Restaurants",1978,50
"203","Restaurants",1979,65
"204","Restaurants",1980,68
"205","Restaurants",1981,66
"206","Restaurants",1982,69
"207","Restaurants",1983,54
"208","Restaurants",1984,49
"209","Restaurants",1985,37
"210","Restaurants",1986,35
"211","Restaurants",1987,56
"212","Restaurants",1988,60
"213","Restaurants",1989,47
"214","Restaurants",1990,18
"215","Restaurants",1991,19
"216","Restaurants",1992,17
"217","Restaurants",1993,14
"218","Restaurants",1994,20
"219","Restaurants",1995,23
"220","Restaurants",1996,29
